,name,number,type,greyscale_homogeneity_avg,greyscale_energy_avg,greyscale_contrast_avg,greyscale_dissimilarity_avg,greyscale_ASM_avg,greyscale_correlation_avg
3333,blob-6500-1800,-6500-1800,0,0.2600888527024899,0.13371894530909684,1472.2238041016108,14.928771349862165,0.017966808602505463,0.8347413873552355
3334,blob-6500-1900,-6500-1900,0,0.2592041635400827,0.13284830507301956,1353.9673939393833,14.496899500050944,0.017713360348853013,0.845443003831344
3335,blob-6500-2000,-6500-2000,0,0.28490841930275673,0.1489858036473301,1352.0611700846762,13.719436384042377,0.02227863596476995,0.8460784554050089
3336,blob-6500-2100,-6500-2100,0,0.26768488481958996,0.13971975429363506,1526.1178055300381,14.975595551474237,0.019599309591136455,0.8285459401704797
3337,blob-6500-2200,-6500-2200,0,0.24133238944336682,0.11438765422912067,1422.2897349249968,14.546224670951867,0.013164322445187324,0.8343276050309691
3338,blob-6500-2300,-6500-2300,0,0.30409456098758025,0.1736930914958151,1453.1103577185916,14.283193551678313,0.030237683950405457,0.8377860475451901
3339,blob-6500-2400,-6500-2400,0,0.25433324204152763,0.13095587388975832,1473.9959159269358,15.209234976022765,0.017223908874241946,0.8317771002101846
3340,blob-6500-2500,-6500-2500,0,0.26428025737346916,0.13789591829692838,1405.5792404856566,15.018756861544665,0.01909357472013694,0.8407875407000314
3341,blob-6500-2600,-6500-2600,0,0.2652643340302537,0.1411795540658954,1427.8676710539644,15.589108458320464,0.02000137415936229,0.8404005887276893
3342,blob-6500-2700,-6500-2700,0,0.3034151203232811,0.17757420993519762,1551.5402885419721,15.611886134067865,0.0316094282544445,0.8291727829550609
3343,blob-6500-2800,-6500-2800,0,0.35290927689792057,0.22753291583630403,1598.427245383112,14.50552841546774,0.05184966904495053,0.8266747783882312
3344,blob-6500-2900,-6500-2900,0,0.4177561099574163,0.29497930390528027,1650.375695133139,14.278629527599145,0.08707353307204452,0.8275161475146839
3345,blob-6500-3000,-6500-3000,0,0.26540767853809594,0.1425327329547263,1431.6704581165095,15.15635180083656,0.020385606367447472,0.8349948789387909
3346,blob-6500-3100,-6500-3100,0,0.23620056160091635,0.1176324713903838,1429.0561697785824,15.840640342822052,0.013913182369350496,0.835189402590375
3347,blob-6500-3200,-6500-3200,0,0.28959120008024775,0.16977299764242346,1525.7042130394734,16.649904703601575,0.028883936757139673,0.8333410139052514
3348,blob-6500-3300,-6500-3300,0,0.43424716727213897,0.3237661503157835,1672.1147364554538,15.126505050504978,0.10486384991502355,0.8322163248097457
3349,blob-6500-3400,-6500-3400,0,0.41905426176302896,0.2988613059956335,1746.39462463013,15.098592796653332,0.08938865886441691,0.8244953989295022
3350,blob-6500-3500,-6500-3500,0,0.3106260418453807,0.18378388932051015,1525.8259512294583,15.485969186817565,0.03386014294521232,0.8358831096584473
3351,blob-6500-3600,-6500-3600,0,0.3068611802450117,0.17083834313785434,1443.418449545956,14.226354453627106,0.029249668931271695,0.8405621683992063
3352,blob-6500-3700,-6500-3700,0,0.25227630423760034,0.12288720224454627,1463.5439098051133,14.631917967554253,0.01517551763847152,0.8320146912837609
3353,blob-6500-3800,-6500-3800,0,0.2615120061375653,0.13319394506954332,1398.0519085807498,14.576218345066739,0.017817315063801235,0.8414874949079649
3354,blob-6500-3900,-6500-3900,0,0.28304418520823516,0.1601404408399819,1583.4682542597607,15.733418222630249,0.025721953762019644,0.8223597732626464
3355,blob-6500-4000,-6500-4000,0,0.3508656504754228,0.22337942279574943,1587.3798967452196,14.487560453014932,0.04997006709032659,0.8283231990362463
3356,blob-6500-4100,-6500-4100,0,0.2727563106693373,0.13599607532558053,1510.2444501581372,14.50009754106714,0.01856257241959642,0.8279080862616311
3357,blob-6500-4200,-6500-4200,0,0.2925434706035996,0.16407368769381328,1315.734254871945,14.277551678400062,0.026970288496618387,0.8508273860545389
3358,blob-6500-4300,-6500-4300,0,0.34783459352037216,0.2226541842983117,1444.7701712070116,13.819312723191425,0.049619777903512206,0.8441602016941092
3359,blob-6500-4400,-6500-4400,0,0.29420008451980123,0.16966732148459257,1488.472273849598,14.911657994082123,0.028870452013641613,0.83500010508201
3360,blob-6500-4500,-6500-4500,0,0.2611405585255618,0.13457667880443275,1511.6393319048987,15.125922252831279,0.018196733621660972,0.8293503887568325
3361,blob-6500-4600,-6500-4600,0,0.26487055078393607,0.13796791541395376,1477.19195918783,14.933374961738517,0.019120888844833345,0.8323066634801044
3362,blob-6500-4700,-6500-4700,0,0.2175159412265301,0.10418676665600349,1384.4005538210295,15.959426997245075,0.010938655654836385,0.8356924959078358
3363,blob-6500-4800,-6500-4800,0,0.7145337020213387,0.6208090649957214,1585.2733027242073,10.302396898275662,0.38540909521662947,0.8502172394022244
3364,blob-6500-4900,-6500-4900,0,0.9730582655685343,0.9049094893808254,1751.9132231404958,6.870247933884296,0.8188618114393377,0.8227419416691486
3365,blob-6500-5000,-6500-5000,0,0.9758733705930608,0.9095721399386404,1568.8582038156326,6.152385113002481,0.8273220155378562,0.8381812150700533
3366,blob-6600-0,-6600-0,0,0.9565404368628568,0.8871696501022643,1626.4200461177431,6.956880318334866,0.787070732054783,0.8381573859844339
3367,blob-6600-100,-6600-100,0,0.8169852467996634,0.7327742623599837,1883.5741218243027,10.345709621467176,0.5369741609074732,0.8229996804703431
3368,blob-6600-200,-6600-200,0,0.7790766679006175,0.6896475570227181,1550.8490958065472,9.841987960412204,0.4756253289713365,0.8519104741597812
